Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
0.9934147634636753,Null Class,0,0,6126,999153,,0.0,1.0,
,16 Handles,1000,0,0,1004279,1.0,1.0,1.0,1.0
,24 Hour Fitness,1298,4,2,1003975,0.9969278033794163,0.9984615384615385,0.9999960158529212,0.9976940814757878
,7-Eleven,1267,2,0,1004010,0.9984239558707644,1.0,0.9999980079919364,0.999211356466877
,85C Bakery Cafe,991,0,0,1004288,1.0,1.0,1.0,1.0
,99 Cents Only Stores,1026,9,0,1004244,0.991304347826087,1.0,0.9999910381148973,0.9956331877729258
,99 Ranch Market,1026,2,0,1004251,0.9980544747081712,1.0,0.9999980084699772,0.9990262901655307
,A&P,1099,4,0,1004176,0.9963735267452403,1.0,0.9999960166504013,0.9981834695731153
,A.C. Moore,972,1,0,1004306,0.998972250770812,1.0,0.9999990042885293,0.9994858611825194
,AAA,1921,71,1,1003286,0.9643574297188755,0.9994797086368367,0.9999292375495462,0.9816044966785897
,Aaron Brothers,997,0,0,1004282,1.0,1.0,1.0,1.0
,ABC Stores,888,2,0,1004389,0.9977528089887641,1.0,0.9999980087436068,0.998875140607424
,ABCmouse.com,998,0,4,1004277,1.0,0.9960079840319361,1.0,0.9980000000000001
,AbeBooks,1019,0,0,1004260,1.0,1.0,1.0,1.0
,Abercrombie & Fitch,874,10,0,1004395,0.9886877828054299,1.0,0.9999900438568108,0.994311717861206
,Academy Sports,1003,0,0,1004276,1.0,1.0,1.0,1.0
,Ace Hardware,1140,49,1,1004089,0.95878889823381,0.9991235758106923,0.9999512019264284,0.9785407725321889
,Acme Markets,968,17,0,1004294,0.9827411167512691,1.0,0.999983072972416,0.9912954429083463
,ActBlue,1009,0,0,1004270,1.0,1.0,1.0,1.0
,Adidas,1021,11,1,1004246,0.9893410852713178,0.9990215264187867,0.9999890466285025,0.9941577409931841
,Adobe Systems,1029,0,0,1004250,1.0,1.0,1.0,1.0
,ADT Security,1023,0,0,1004256,1.0,1.0,1.0,1.0
,Advance Auto Parts,1037,17,1,1004224,0.9838709677419355,0.9990366088631984,0.9999830717925279,0.991395793499044
,Aeropostale,1015,1,0,1004263,0.9990157480314961,1.0,0.9999990042458955,0.999507631708518
,Aerosoles,953,0,0,1004326,1.0,1.0,1.0,1.0
,Aetna,793,31,0,1004455,0.962378640776699,1.0,0.9999691384449361,0.9808286951144094
,Air Canada,1012,1,1,1004265,0.9990128331688055,0.9990128331688055,0.9999990042478786,0.9990128331688055
,Airbnb,1017,0,0,1004262,1.0,1.0,1.0,1.0
,AirTran Airways,988,0,0,1004291,1.0,1.0,1.0,1.0
,Alamo Rent a Car,1022,1,1,1004255,0.9990224828934506,0.9990224828934506,0.9999990042379632,0.9990224828934506
,Alaska Airlines,911,2,0,1004366,0.9978094194961665,1.0,0.9999980086980071,0.9989035087719299
,Albertsons,1046,3,0,1004230,0.9971401334604385,1.0,0.9999970126454717,0.9985680190930787
,Aldo,984,18,2,1004275,0.9820359281437125,0.9979716024340771,0.9999820769436808,0.9899396378269618
,AliExpress.com,998,0,0,1004281,1.0,1.0,1.0,1.0
,Allstate,1018,17,0,1004244,0.9835748792270531,1.0,0.9999830721296555,0.9917194349732099
,Allsup's,1096,1,0,1004182,0.9990884229717412,1.0,0.9999990041655754,0.9995440036479708
,Amazing Savings,967,0,0,1004312,1.0,1.0,1.0,1.0
,Amazon Digital Services,1133,16,0,1004130,0.9860748476936466,1.0,0.9999840660621065,0.9929886064855389
,Amazon Kindle,1364,0,0,1003915,1.0,1.0,1.0,1.0
,Amazon Local,1011,0,0,1004268,1.0,1.0,1.0,1.0
,Amazon.com,3753,12,15,1001499,0.9968127490039841,0.9960191082802548,0.9999880181046439,0.996415770609319
,American Airlines,1026,5,2,1004246,0.9951503394762367,0.9980544747081712,0.9999950211650275,0.996600291403594
,American Apparel,960,2,0,1004317,0.997920997920998,1.0,0.9999980086008529,0.9989594172736733
,American Cancer Society,986,0,0,1004293,1.0,1.0,1.0,1.0
,American Eagle Outfitters,1032,0,0,1004247,1.0,1.0,1.0,1.0
,American Express,869,19,0,1004391,0.9786036036036037,1.0,0.9999810834221085,0.9891861126920888
,American Greetings,997,0,0,1004282,1.0,1.0,1.0,1.0
,American Home Shield,1017,0,0,1004262,1.0,1.0,1.0,1.0
,Amish Market,995,1,0,1004283,0.998995983935743,1.0,0.9999990042657256,0.9994977398292315
,Amoco Corporation,947,29,0,1004303,0.9702868852459017,1.0,0.9999711250861268,0.984919396775871
,Ampco System Parking,1087,4,0,1004188,0.9963336388634281,1.0,0.999996016698002,0.9981634527089073
,Amtrak,1023,1,0,1004255,0.9990234375,1.0,0.9999990042379632,0.9995114802149487
,Ancestry.com,1030,0,0,1004249,1.0,1.0,1.0,1.0
,Angie's List,969,1,0,1004309,0.9989690721649485,1.0,0.9999990042915036,0.999484270242393
,Ann Taylor,990,1,0,1004288,0.9989909182643795,1.0,0.999999004270683,0.999495204442201
,Anthropologie,976,0,0,1004303,1.0,1.0,1.0,1.0
,Anytime Fitness,1035,7,0,1004237,0.9932821497120922,1.0,0.9999930295824521,0.9966297544535387
,AOL,1009,5,0,1004265,0.995069033530572,1.0,0.9999950212592231,0.9975284231339594
,Apna Bazaar,302,11,0,1004966,0.9648562300319489,1.0,0.9999890544758736,0.9821138211382114
,Apple Inc.,1355,3,0,1003921,0.9977908689248896,1.0,0.9999970117259872,0.9988942130482861
,Applebee's,1014,1,0,1004264,0.9990147783251232,1.0,0.999999004246887,0.9995071463775258
,Aramark,2577,251,5,1002446,0.9112446958981613,0.9980635166537568,0.9997496751261847,0.9526802218114603
,Arby's,1000,7,0,1004272,0.9930486593843099,1.0,0.9999930298253772,0.9965122072745392
,ARCO,891,42,2,1004344,0.954983922829582,0.9977603583426652,0.9999581834075744,0.9759036144578312
,Arlington Meter Parking,1011,0,0,1004268,1.0,1.0,1.0,1.0
,Armani Exchange,1079,1,0,1004199,0.9990740740740741,1.0,0.9999990041824338,0.999536822603057
,Army and Air Force Exchange Service,3044,141,21,1002073,0.9557299843014129,0.9931484502446982,0.9998593114843736,0.97408
,ASOS,1019,0,0,1004260,1.0,1.0,1.0,1.0
,Associated Supermarkets,1019,11,0,1004249,0.9893203883495145,1.0,0.9999890466612232,0.9946315275744265
,AT&T,1310,18,1,1003950,0.9864457831325302,0.9992372234935164,0.9999820711417097,0.9928003031451307
,Athleta,1034,0,0,1004245,1.0,1.0,1.0,1.0
,Atlanta International Airport,1018,0,0,1004261,1.0,1.0,1.0,1.0
,Atmos Energy,1031,0,0,1004248,1.0,1.0,1.0,1.0
,Au Bon Pain,1150,3,0,1004126,0.997398091934085,1.0,0.9999970123360644,0.998697351280938
,Audible Inc.,1016,0,0,1004263,1.0,1.0,1.0,1.0
,Auntie Anne's,1058,3,0,1004218,0.9971724787935909,1.0,0.9999970126097741,0.9985842378480415
,AutoZone,989,1,0,1004289,0.998989898989899,1.0,0.9999990042716745,0.9994946942900456
,Avangate,358,25,0,1004896,0.9347258485639687,1.0,0.9999751224225586,0.9662618083670715
,Avanti Markets,992,0,0,1004287,1.0,1.0,1.0,1.0
,Aveda,969,8,0,1004302,0.9918116683725691,1.0,0.999992034332029,0.9958890030832477
,Avis Rent a Car System,1005,2,0,1004272,0.9980139026812314,1.0,0.9999980085116214,0.9990059642147118
,Bahama Breeze,991,2,0,1004286,0.9979859013091642,1.0,0.9999980085393831,0.998991935483871
,Baja Fresh,1006,2,0,1004271,0.998015873015873,1.0,0.9999980085096383,0.9990069513406157
,Bakers,675,121,0,1004483,0.8479899497487438,1.0,0.9998795545309396,0.9177430319510538
,Balducci's,987,1,0,1004291,0.9989878542510121,1.0,0.9999990042736575,0.9994936708860759
,Bally Total Fitness,925,0,2,1004352,1.0,0.9978425026968716,1.0,0.9989200863930885
,Banana Republic,996,2,2,1004279,0.9979959919839679,0.9979959919839679,0.9999980085255024,0.9979959919839679
,Banfield,1063,2,0,1004214,0.9981220657276996,1.0,0.9999980083965999,0.9990601503759398
,Bank of America,1992,4,0,1003283,0.9979959919839679,1.0,0.9999960131049241,0.9989969909729188
,Bar Louie,995,2,0,1004282,0.9979939819458375,1.0,0.9999980085314513,0.998995983935743
,Bare Escentuals,1007,0,0,1004272,1.0,1.0,1.0,1.0
,Barnes & Noble,1234,4,1,1004040,0.9967689822294022,0.9991902834008097,0.9999960161108478,0.9979781641730691
,BART,986,62,0,1004231,0.9408396946564885,1.0,0.9999382650282338,0.9695181907571288
,Bartell Drugs,995,0,0,1004284,1.0,1.0,1.0,1.0
,Bashas' Supermarkets,1027,1,0,1004251,0.9990272373540856,1.0,0.999999004233997,0.9995133819951338
,Baskin-Robbins,964,5,3,1004307,0.9948400412796697,0.9968976215098242,0.9999950214674325,0.9958677685950413
,Bass Pro Shops,1048,0,0,1004231,1.0,1.0,1.0,1.0
,Bath & Body Works,1173,3,2,1004101,0.9974489795918368,0.9982978723404256,0.999997012261678,0.9978732454274777
,Batteries Plus,1058,0,0,1004221,1.0,1.0,1.0,1.0
,Beachbody,933,4,0,1004342,0.9957310565635006,1.0,0.9999960173087761,0.9978609625668449
,Bealls,981,1,0,1004297,0.9989816700610998,1.0,0.9999990042796063,0.999490575649516
,Bed Bath & Beyond,1046,0,2,1004231,1.0,0.9980916030534351,1.0,0.9990448901623686
,Belk,1044,2,0,1004233,0.9980879541108987,1.0,0.9999980084342808,0.999043062200957
,Bellagio,414,29,0,1004836,0.9345372460496614,1.0,0.9999711404019446,0.9661610268378064
,Benihana,1028,0,0,1004251,1.0,1.0,1.0,1.0
,Berkeley Bowl,1018,0,0,1004261,1.0,1.0,1.0,1.0
,Bertucci's,1015,1,0,1004263,0.9990157480314961,1.0,0.9999990042458955,0.999507631708518
,Best Buy,1154,15,1,1004109,0.9871685201026519,0.9991341991341991,0.9999850616059371,0.9931153184165232
,Best Western,1012,8,0,1004259,0.9921568627450981,1.0,0.9999920339909606,0.9960629921259843
,Best Yet Market,961,1,0,1004317,0.998960498960499,1.0,0.999999004299435,0.999479979199168
,BevMo!,983,1,0,1004295,0.9989837398373984,1.0,0.9999990042776233,0.9994916115912558
,Big 5 Sporting Goods,1002,0,0,1004277,1.0,1.0,1.0,1.0
,Big Fish Games,1051,0,0,1004228,1.0,1.0,1.0,1.0
,Big Lots,1021,0,0,1004258,1.0,1.0,1.0,1.0
,Big Y,1037,9,0,1004233,0.9913957934990439,1.0,0.9999910380167331,0.9956793086893903
,Bill Miller Bar-B-Q,1006,2,0,1004271,0.998015873015873,1.0,0.9999980085096383,0.9990069513406157
,BI-LO,1085,2,0,1004192,0.9981600735970562,1.0,0.9999980083529677,0.9990791896869246
,Binny's,1018,0,0,1004261,1.0,1.0,1.0,1.0
,Birchbox,1052,1,0,1004226,0.9990503323836657,1.0,0.9999990042092077,0.9995249406175772
,BJ's Restaurant & Brewery,994,2,0,1004283,0.9979919678714859,1.0,0.9999980085334342,0.9989949748743718
,BJ's Wholesale Club,1141,3,1,1004134,0.9973776223776224,0.999124343257443,0.9999970123598673,0.9982502187226596
,BJ's Wholesale Club Fuel,1005,1,1,1004272,0.9990059642147118,0.9990059642147118,0.9999990042548191,0.9990059642147118
,Blimpie,1001,1,0,1004277,0.999001996007984,1.0,0.9999990042597767,0.999500748876685
,Blizzard Entertainment,1065,2,1,1004211,0.9981255857544518,0.99906191369606,0.9999980083906502,0.9985935302390998
,Blockbuster,976,0,0,1004303,1.0,1.0,1.0,1.0
,Bloomingdale's,924,4,0,1004351,0.9956896551724138,1.0,0.9999960173444649,0.9978401727861772
,Blue Apron,1060,0,0,1004219,1.0,1.0,1.0,1.0
,Blue Martini,503,3,0,1004773,0.9940711462450593,1.0,0.9999970142598947,0.9970267591674926
,Blue Mountain,1023,3,0,1004253,0.9970760233918129,1.0,0.9999970127138896,0.9985358711566619
,BMW,1010,27,0,1004242,0.973963355834137,1.0,0.999973114773034,0.986809965803615
,Bob Evans,1007,1,0,1004271,0.9990079365079365,1.0,0.9999990042538276,0.9995037220843672
,Boden,964,3,0,1004312,0.9968976215098242,1.0,0.9999970128893824,0.9984464008285863
,Boingo Wireless,1018,0,0,1004261,1.0,1.0,1.0,1.0
,Bojangles,922,8,0,1004349,0.9913978494623656,1.0,0.9999920347047913,0.9956803455723542
,Boloco,981,2,0,1004296,0.9979654120040692,1.0,0.9999980085592125,0.9989816700610997
,Bon Appetit,959,1,0,1004319,0.9989583333333333,1.0,0.9999990043014179,0.9994788952579468
,Bonefish Grill,942,2,0,1004335,0.9978813559322034,1.0,0.9999980086365433,0.9989395546129375
,Bon-Ton,997,16,0,1004266,0.9842053307008884,1.0,0.9999840682198825,0.9920398009950249
,Books-A-Million,1021,2,0,1004256,0.9980449657869013,1.0,0.9999980084798926,0.9990215264187867
,Boost Mobile,978,1,0,1004300,0.9989785495403473,1.0,0.9999990042825806,0.9994890137966276
,Boscov's,988,3,0,1004288,0.9969727547931383,1.0,0.999997012817998,0.9984840828701365
,Boston Market,971,3,0,1004305,0.9969199178644764,1.0,0.9999970128685622,0.9984575835475578
,Boston Taxi Cab,1044,5,0,1004230,0.9952335557673975,1.0,0.999995021085702,0.9976110845676063
,BP,1230,94,5,1003950,0.9290030211480362,0.9959514170040485,0.9999063786049217,0.9613130128956623
,Braum's,1000,2,0,1004277,0.998003992015968,1.0,0.9999980085215363,0.9990009990009989
,Bright House Networks,978,4,0,1004297,0.9959266802443992,1.0,0.9999960171303225,0.9979591836734694
,Bristol Farms,999,0,0,1004280,1.0,1.0,1.0,1.0
,British Airways,1012,4,0,1004263,0.9960629921259843,1.0,0.9999960169954802,0.9980276134122288
,Broadview Security,967,1,0,1004311,0.9989669421487604,1.0,0.9999990042934865,0.999483204134367
,Brooks Brothers,964,8,3,1004304,0.9917695473251029,0.9968976215098242,0.9999920343478919,0.9943269726663229
,Brookshire's,964,20,0,1004295,0.9796747967479674,1.0,0.9999800859292154,0.9897330595482546
,Brookstone,938,4,0,1004337,0.9957537154989384,1.0,0.9999960172889487,0.997872340425532
,Bruegger's,1009,0,0,1004270,1.0,1.0,1.0,1.0
,Bubba Gump Shrimp,974,1,0,1004304,0.9989743589743589,1.0,0.9999990042865464,0.9994869163673679
,Buc-ee's,999,0,0,1004280,1.0,1.0,1.0,1.0
,Buckle,1057,6,0,1004216,0.9943555973659455,1.0,0.999994025225498,0.9971698113207548
,Budget Rent a Car,1007,10,0,1004262,0.9901671583087512,1.0,0.9999900425382765,0.9950592885375494
,Buffalo Wild Wings,1038,5,3,1004233,0.9952061361457335,0.9971181556195965,0.9999950211005758,0.9961612284069098
,Build-A-Bear Workshop,1012,0,0,1004267,1.0,1.0,1.0,1.0
,Burger King,1103,5,3,1004168,0.9954873646209387,0.9972875226039783,0.9999950207782922,0.996386630532972
,Burlington Coat Factory,1038,4,1,1004236,0.9961612284069098,0.9990375360923965,0.9999960168883932,0.9975973089860644
,Busch Gardens,740,16,1,1004522,0.9788359788359788,0.9986504723346828,0.9999840722799934,0.9886439545758183
,Buy Buy Baby,1027,1,0,1004251,0.9990272373540856,1.0,0.999999004233997,0.9995133819951338
,Cabela's,1005,1,0,1004273,0.9990059642147118,1.0,0.9999990042558107,0.9995027349577325
,Cablevision,949,0,0,1004330,1.0,1.0,1.0,1.0
,Cafe Duke,995,4,0,1004280,0.995995995995996,1.0,0.9999960170629025,0.9979939819458374
,Cafe Europa,1025,1,0,1004253,0.9990253411306043,1.0,0.9999990042359801,0.999512432959532
,California Pizza Kitchen,1017,6,0,1004256,0.9941348973607038,1.0,0.9999940254634747,0.9970588235294118
,California Tortilla,969,1,0,1004309,0.9989690721649485,1.0,0.9999990042915036,0.999484270242393
,Calvin Klein,933,0,0,1004346,1.0,1.0,1.0,1.0
,Camping World,972,0,0,1004307,1.0,1.0,1.0,1.0
,Canteen Vending Services,1707,7,0,1003565,0.9959159859976663,1.0,0.9999930249150036,0.997953814674072
,Capital One,989,3,0,1004287,0.9969758064516129,1.0,0.9999970128150235,0.9984856133266027
,Captain D's,998,4,0,1004277,0.9960079840319361,1.0,0.9999960170510046,0.9980000000000001
,Caribou Coffee,1002,1,0,1004276,0.9990029910269193,1.0,0.9999990042587852,0.9995012468827931
,Carl's Jr.,1061,3,0,1004215,0.9971804511278195,1.0,0.9999970126008496,0.9985882352941177
,Carmike Cinemas,989,0,0,1004290,1.0,1.0,1.0,1.0
,Carnegie Mellon University,1016,0,1,1004262,1.0,0.9990167158308751,1.0,0.999508116084604
,Carnival Cruise Lines,960,0,0,1004319,1.0,1.0,1.0,1.0
,Carrabba's Italian Grill,1048,1,0,1004230,0.9990467111534795,1.0,0.9999990042131741,0.9995231282784931
,Carter's,1041,8,0,1004230,0.9923736892278361,1.0,0.9999920337609212,0.9961722488038278
,Casey's General Stores,1006,0,0,1004273,1.0,1.0,1.0,1.0
,CCBill,1004,2,0,1004273,0.9980119284294234,1.0,0.9999980085136043,0.999004975124378
,Central Market,968,5,0,1004306,0.9948612538540597,1.0,0.9999950214624753,0.9974240082431736
,Century 21 Department Store,1016,0,0,1004263,1.0,1.0,1.0,1.0
,Century Theatres,986,4,0,1004289,0.9959595959595959,1.0,0.9999960170985958,0.9979757085020243
,CenturyLink,979,2,3,1004295,0.9979612640163099,0.9969450101832994,0.9999980085572295,0.9974528782475803
,Charley's Grilled Subs,981,44,0,1004254,0.9570731707317073,1.0,0.9999561883026751,0.9780658025922233
,Charlotte Russe,1071,4,0,1004204,0.9962790697674418,1.0,0.9999960167614678,0.9981360671015843
,Charming Charlie,973,1,0,1004305,0.9989733059548255,1.0,0.9999990042875379,0.9994863893168978
,Charter Communications,1004,4,0,1004271,0.996031746031746,1.0,0.9999960170272086,0.9980119284294234
,Chartwells,977,3,0,1004299,0.996938775510204,1.0,0.9999970128507162,0.9984670413898824
,Chaz Dean,991,0,0,1004288,1.0,1.0,1.0,1.0
,Checkers,860,47,0,1004372,0.948180815876516,1.0,0.9999532067792425,0.9734012450481042
,Cheddar's,1042,0,0,1004237,1.0,1.0,1.0,1.0
,Chevron,1069,8,0,1004202,0.9925719591457753,1.0,0.9999920335388016,0.9962721342031687
,Chevys Fresh Mex,959,2,0,1004318,0.9979188345473465,1.0,0.9999980086028357,0.9989583333333333
,Chicken Express,983,1,0,1004295,0.9989837398373984,1.0,0.9999990042776233,0.9994916115912558
,Chick-fil-A,1098,0,1,1004180,1.0,0.9990900818926297,1.0,0.9995448338643604
,Chico's,943,7,0,1004329,0.9926315789473684,1.0,0.9999930302209619,0.9963021658742736
,Chili's,1046,9,0,1004224,0.9914691943127962,1.0,0.9999910379364152,0.9957163255592575
,China Wok,1002,35,1,1004241,0.9662487945998072,0.9990029910269193,0.9999651490227786,0.9823529411764707
,Chipotle,1049,1,1,1004228,0.9990476190476191,0.9990476190476191,0.9999990042111909,0.9990476190476191
,Chop't,1026,9,0,1004244,0.991304347826087,1.0,0.9999910381148973,0.9956331877729258
,Chuck E. Cheese's,1013,2,1,1004263,0.9980295566502463,0.9990138067061144,0.9999980084937741,0.9985214391325776
,Church's Chicken,1007,2,0,1004270,0.998017839444995,1.0,0.9999980085076553,0.9990079365079365
,Chuy's,1001,3,0,1004275,0.9970119521912351,1.0,0.9999970127793301,0.9985037406483791
,Cici's Pizza,991,2,0,1004286,0.9979859013091642,1.0,0.9999980085393831,0.998991935483871
,Cigna,856,0,0,1004423,1.0,1.0,1.0,1.0
,Cinemark Theatres,975,1,0,1004303,0.9989754098360656,1.0,0.999999004285555,0.9994874423372629
,Cinnabon,1035,3,1,1004240,0.9971098265895953,0.999034749034749,0.999997012675219,0.9980713596914175
,Circle K,1063,10,0,1004206,0.9906803355079217,1.0,0.9999900419829997,0.995318352059925
,Citarella,997,1,0,1004281,0.998997995991984,1.0,0.9999990042637427,0.9994987468671679
,Citgo,947,12,0,1004320,0.9874869655891554,1.0,0.9999880517597767,0.993704092339979
,Citibank,1822,4,2,1003451,0.9978094194961665,0.9989035087719298,0.9999960137724163,0.9983561643835617
,Claire's,982,16,0,1004281,0.9839679358717435,1.0,0.9999840684578367,0.9919191919191919
,Clarks,527,72,2,1004678,0.8797996661101837,0.996219281663516,0.9999283403831799,0.9343971631205673
,Clyde's Restaurant Group,691,7,0,1004581,0.9899713467048711,1.0,0.9999930319693248,0.9949604031677466
,Coach USA,1049,0,0,1004230,1.0,1.0,1.0,1.0
,Coca Cola,952,4,0,1004323,0.99581589958159,1.0,0.9999960172334309,0.9979035639412999
,Coco's Bakery Restaurant,859,11,0,1004409,0.9873563218390805,1.0,0.9999890484060453,0.9936379410063622
,Coinmach,1064,0,0,1004215,1.0,1.0,1.0,1.0
,Cold Stone Creamery,1035,6,1,1004237,0.9942363112391931,0.999034749034749,0.9999940253504381,0.9966297544535387
,Cole Haan,997,3,0,1004279,0.997,1.0,0.999997012791228,0.99849774661993
,College Board,1056,1,3,1004219,0.9990539262062441,0.9971671388101983,0.9999990042022664,0.998109640831758
,Columbia Sportswear,799,1,0,1004479,0.99875,1.0,0.9999990044600191,0.9993746091307067
,Comcast,998,0,0,1004281,1.0,1.0,1.0,1.0
,Comfort Suites,1013,0,0,1004266,1.0,1.0,1.0,1.0
,Consumer Reports,1000,4,0,1004275,0.9960159362549801,1.0,0.9999960170430727,0.998003992015968
,Cook Out,952,0,1,1004326,1.0,0.9989506820566632,1.0,0.9994750656167979
,Copps,976,0,0,1004303,1.0,1.0,1.0,1.0
,Corner Bakery Cafe,981,1,0,1004297,0.9989816700610998,1.0,0.9999990042796063,0.999490575649516
,Corner Store,1056,5,0,1004218,0.9952874646559849,1.0,0.9999950210262063,0.9976381672177609
,Cosi,976,2,1,1004300,0.9979550102249489,0.9989764585465711,0.9999980085671442,0.9984654731457802
,Cost Plus World Market,1074,6,0,1004199,0.9944444444444445,1.0,0.9999940251243521,0.9972144846796658
,Costco,1425,8,18,1003828,0.994417306350314,0.9875259875259875,0.9999920305707307,0.9909596662030599
